SSE run info
"","          Date","   samples run","simulation model","   PsN version","NONMEM version","Sim. with uncertainty",
"",     2014-10-2,             2,       sim.mod,        v4.2.0,       default,            no,
Reference/True values
"","           ofv","        THETA1","        THETA2","    OMEGA(1,1)","    OMEGA(2,2)","    SIGMA(1,1)","    SIGMA(2,2)",
"",Sim. model result,             1,            20,          0.05,          0.05,         0.015,        0.0015,

Simulation model
Samples completed: 2
"","           ofv","          TH_1","          TH_2","          OM_1","          OM_2","          SI_1","          SI_2",
"          mean",      1576.321,      0.966301,       21.2278,    0.03910445,     0.0523655,     0.0140194,     0.8384551,
"        median",      1576.321,      0.966301,       21.2278,    0.03910445,     0.0523655,     0.0140194,     0.8384551,
"            sd",      22.34571,    0.01495814,      1.078479,    0.01179772,    0.01826966,   0.004004629,      1.185754,
"           max",      1592.122,      0.976878,       21.9904,     0.0474467,     0.0652841,     0.0168511,       1.67691,
"           min",       1560.52,      0.955724,       20.4652,     0.0307622,     0.0394469,     0.0111877,       1.5e-07,
"      skewness",              NA,              NA,              NA,              NA,              NA,              NA,              NA,
"      kurtosis",              NA,              NA,              NA,              NA,              NA,              NA,              NA,
"          rmse",              ,     0.0353199,      1.445355,    0.01372247,    0.01313339,   0.002996682,      1.184694,
" relative_rmse",              ,       3.53199,      7.226776,      27.44494,      26.26677,      19.97788,      78979.62,
"          bias",              ,     -0.033699,        1.2278,   -0.01089555,     0.0023655,-0.000980599999999999,     0.8369551,
" relative_bias",              ,       -3.3699,         6.139,      -21.7911,         4.731,-6.53733333333333,         55797,
"relative_absolute_bias",              ,       -3.3699,         6.139,      -21.7911,         4.731,-6.53733333333333,         55797,
"           rse",              ,        1.0577,         3.813,       16.6845,       25.8372,        18.878,      55896.99,
"standard error CI",
"          0.5%",              ,     -6.098766,-3.69854000000001,     -64.83711,    -61.928976,-55.2425733333333,   -88417.2421,
"          2.5%",              ,     -5.442992,-1.33448000000001,     -54.49272,    -45.909912,-43.5382133333333,   -53761.1052,
"            5%",              ,    -5.1098165,-0.133385000000004,   -49.2371025,    -37.771194,-37.5916433333333, -36153.551775,
"           95%",              ,    -1.6299835,      12.41139,      5.654902,      47.23319,      24.51698,      147747.6,
"         97.5%",              ,     -1.296808,      13.61248,      10.91052,      55.37191,      30.46355,      165355.1,
"         99.5%",              ,-0.641033999999997,      15.97654,      21.25491,      71.39098,      42.16791,      200011.3,

Alternative model 1
Samples completed: 2
"","           ofv","          TH_1","          TH_2","          OM_1","          OM_2","          SI_1","          SI_2",
"          mean",      1576.321,      0.966301,       21.2278,    0.03910445,     0.0523655,     0.0140194,     0.8384551,
"        median",      1576.321,      0.966301,       21.2278,    0.03910445,     0.0523655,     0.0140194,     0.8384551,
"            sd",      22.34571,    0.01495814,      1.078479,    0.01179772,    0.01826966,   0.004004629,      1.185754,
"           max",      1592.122,      0.976878,       21.9904,     0.0474467,     0.0652841,     0.0168511,       1.67691,
"           min",       1560.52,      0.955724,       20.4652,     0.0307622,     0.0394469,     0.0111877,       1.5e-07,
"      skewness",              NA,              NA,              NA,              NA,              NA,              NA,              NA,
"      kurtosis",              NA,              NA,              NA,              NA,              NA,              NA,              NA,
"          rmse",              ,     0.0353199,      1.445355,    0.01372247,    0.01313339,   0.002996682,      1.184694,
" relative_rmse",              ,       3.53199,      7.226776,      27.44494,      26.26677,      19.97788,      78979.62,
"          bias",              ,     -0.033699,        1.2278,   -0.01089555,     0.0023655,-0.000980599999999999,     0.8369551,
" relative_bias",              ,       -3.3699,         6.139,      -21.7911,         4.731,-6.53733333333333,         55797,
"relative_absolute_bias",              ,       -3.3699,         6.139,      -21.7911,         4.731,-6.53733333333333,         55797,
"           rse",              ,        1.0577,         3.813,       16.6845,       25.8372,        18.878,      55896.99,
"standard error CI",
"          0.5%",              ,     -6.098766,-3.69854000000001,     -64.83711,    -61.928976,-55.2425733333333,   -88417.2421,
"          2.5%",              ,     -5.442992,-1.33448000000001,     -54.49272,    -45.909912,-43.5382133333333,   -53761.1052,
"            5%",              ,    -5.1098165,-0.133385000000004,   -49.2371025,    -37.771194,-37.5916433333333, -36153.551775,
"           95%",              ,    -1.6299835,      12.41139,      5.654902,      47.23319,      24.51698,      147747.6,
"         97.5%",              ,     -1.296808,      13.61248,      10.91052,      55.37191,      30.46355,      165355.1,
"         99.5%",              ,-0.641033999999997,      15.97654,      21.25491,      71.39098,      42.16791,      200011.3,

ofv Statistics
Type I error rate
,,Percent delta_ofv > N
"","mean delta_ofv","             0","       3.84000","       5.99000","       7.81000","       9.49000",
"simulation - alternative1",             0,            0%,            0%,            0%,            0%,            0%,

1 - type II error rate (power)
,,Percent delta_ofv < N
"","mean delta_ofv","             0","       3.84000","       5.99000","       7.81000","       9.49000",
"simulation - alternative1",             0,            0%,            0%,            0%,            0%,            0%,
