"hypothesis","sample","model","problem","subproblem","covariance_step_run","minimization_successful","covariance_step_successful","covariance_step_warnings","estimate_near_boundary","rounding_errors","zero_gradients","final_zero_gradients","hessian_reset","s_matrix_singular","significant_digits","condition_number","est_methods","model_run_time","subprob_est_time","subprob_cov_time","ofv","TVCL","TVV","OMEGA(1,1)","OMEGA(2,2)","SIGMA(1,1)","SIGMA(2,2)","seTVCL","seTVV","seOMEGA(1,1)","seOMEGA(2,2)","seSIGMA(1,1)","seSIGMA(2,2)","shrinkage_eta1(%)","shrinkage_eta2(%)","shrinkage_iwres(%)","EI1","EI2","EI3","EI4","EI5","EI6"
simulation,1,1,1,1,0,1,0,0,0,0,0,0,0,0,3.9,NA,FOCE_I,0:00:01,0.89,0,1560.52027818795,0.955724,20.4652,0.0307622,0.0652841,0.0111877,1.67691,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
simulation,2,2,1,1,0,1,0,0,1,0,1,1,0,0,3.5,NA,FOCE_I,0:00:01,0.84,0,1592.12187936099,0.976878,21.9904,0.0474467,0.0394469,0.0168511,1.5e-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mc-alternative_1,1,3,1,1,1,1,1,0,0,0,0,0,0,0,3.9,NA,FOCE_I,0:00:02,0.89,0.46,1560.52027818795,0.955724,20.4652,0.0307622,0.0652841,0.0111877,1.67691,0.028891,0.760009,0.00994148,0.012034,0.00195839,2.17139,NA,NA,NA,NA,NA,NA,NA,NA,NA
mc-alternative_1,2,4,1,1,1,1,0,1,1,0,1,1,0,1,3.5,NA,FOCE_I,0:00:02,0.79,0.58,1592.12187936099,0.976878,21.9904,0.0474467,0.0394469,0.0168511,1.5e-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
