"hypothesis","sample","model","problem","subproblem","covariance_step_run","minimization_successful","covariance_step_successful","covariance_step_warnings","estimate_near_boundary","rounding_errors","zero_gradients","final_zero_gradients","hessian_reset","s_matrix_singular","significant_digits","condition_number","est_methods","model_run_time","subprob_est_time","subprob_cov_time","ofv","TVCL","TVV","OMEGA(1,1)","OMEGA(2,2)","SIGMA(1,1)","SIGMA(2,2)","seTVCL","seTVV","seOMEGA(1,1)","seOMEGA(2,2)","seSIGMA(1,1)","seSIGMA(2,2)","shrinkage_eta1(%)","shrinkage_eta2(%)","shrinkage_iwres(%)","EI1","EI2","EI3","EI4","EI5","EI6"
simulation,1,1,1,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,,NA,0,0,1623.43238337269,1,20,0.05,0.05,0.015,0.0015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
simulation,2,2,1,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,,NA,0,0,1709.51496393121,1,20,0.05,0.05,0.015,0.0015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mc-alternative_1,1,3,1,1,1,1,1,0,0,0,0,0,0,0,3.3,NA,FOCE_I,0:00:01,0.81,0.45,1593.83541601371,0.973655,20.6042,0.0247301,0.0465946,0.0125688,3.71465,0.0299074,0.642361,0.00857738,0.0103451,0.00186732,2.21085,NA,NA,NA,NA,NA,NA,NA,NA,NA
mc-alternative_1,2,4,1,1,1,1,1,0,0,0,0,0,0,0,3.8,NA,FOCE_I,0:00:02,0.84,0.47,1638.83905931874,0.932166,20.6429,0.0406847,0.0682266,0.0146484,1.8636,0.0324629,0.786943,0.0106859,0.0149013,0.00184448,1.91259,NA,NA,NA,NA,NA,NA,NA,NA,NA
